name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,10,AC,23.38,-1.94,10,F_M,False
11-LD,11,AC,20.97,-1.93,11,FMN LOOP,False
12-LD,12,AC,15.15,0.34,12,BEDFORD ROW,False
13-LD,13,AC,23.43,-0.8,13,M_R,False
14-LD,14,AC,17.95,1.42,14,F_I,False
15-LD,15,AC,18.05,0.1,15,I_M,False
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,10204,AC,23.1,1.42,10204,ARDNACRUSHA,False
10205-LD,10205,AC,9.97,1.0,10205,ARDNACRUSHA,False
10602-LD,10602,AC,1.2,-0.56,10602,ARIGNA,False
10801-LD,10801,AC,1.44,-0.57,10801,AHANE,False
10902-I,10902,AC,9.5,3.12,10902,ADAMSTOWN,False
10902-LD,10902,AC,2.99,0.5,10902,ADAMSTOWN,False
11201-LD,11201,AC,2.35,-0.02,11201,ARKLOW,False
11204-LD,11204,AC,19.94,-10.45,11204,BIO_ARKLOW,False
11404-LD,11404,AC,25.63,-4.92,11404,ATHLONE,False
12001-LD,12001,AC,3.68,-0.71,12001,ARTANE,False
12201-LD,12201,AC,6.26,0.56,12201,ATHY,False
12702-LD,12702,AC,4.98,-1.41,12702,BALTRASNA,False
12804-LD,12804,AC,5.18,-3.46,12804,HY_BALLYLICK,False
13001-LD,13001,AC,4.43,-0.94,13001,BALLYBEG,False
13204-LD,13204,AC,7.04,-0.09,13204,BLAKE,False
13302-I,13302,AC,9.5,3.12,13302,BLUNDELSTOWN,False
13404-LD,13404,AC,7.02,-0.67,13404,HY_BINBANE,False
13501-I,13501,AC,5.26,0.82,13501,BARODA,False
13601-I,13601,AC,5.99,1.67,13601,BALLYDINE,False
13604-LD,13604,AC,3.44,0.43,13604,BALLYDINE,False
13702-I,13702,AC,35.78,3.94,13702,BARNAGEERAGH,False
13802-LD,13802,AC,19.9,3.84,13802,BARNAHELY,False
13804-LD,13804,AC,6.63,1.28,13804,BARNAHELY,False
13812-LD,13812,AC,3.68,0.71,13812,BARNAHELY,False
14004-LD,14004,AC,1.92,-0.4,14004,BELLACORICK,False
14102-I,14102,AC,59.94,2.68,14102,AIRTON,False
14204-LD,14204,AC,20.07,6.28,14204,BLACKROCK,False
14304-LD,14304,AC,8.03,1.74,14304,BALLYRAGGET,False
14401-LD,14401,AC,3.41,0.16,14401,BANDON,False
14404-LD,14404,AC,14.99,-0.35,14404,HY_BANDON,False
14502-I,14502,AC,71.0,9.5,14502,CLOGHRAN,False
14604-LD,14604,AC,14.23,-2.51,14604,BARRYMORE,False
14804-LD,14804,AC,14.79,-0.21,14804,BUTLERSTOWN,False
15001-I,15001,AC,3.95,0.98,15001,BRINNY,False
15202-I,15202,AC,134.72,8.53,15202,CLONEE,False
15402-LD,15402,AC,2.99,-0.01,15402,BANOGE,False
15602-I,15602,AC,38.0,0.0,15602,COOLDERRIG,False
15704-LD,15704,AC,2.99,0.7,15704,ARDNAGAPPARY,False
15801-LD,15801,AC,3.86,1.22,15801,CABRA,False
16202-LD,16202,AC,4.74,0.0,16202,COOLROE,False
16604-LD,16604,AC,8.97,0.0,16604,CASTLEBAR,False
16901-LD,16901,AC,4.18,-0.9,16901,CENTRAL PARK,False
17004-LD,17004,AC,5.98,1.0,17004,HY_CATH FALL,False
17204-LD,17204,AC,9.49,-0.11,17204,CAHIR,False
17404-LD,17404,AC,22.3,1.4,17404,CARRICKMINES,False
17802-I,17802,AC,50.8,24.52,17802,CASTLEFARM,False
18001-LD,18001,AC,7.27,0.5,18001,COOKSTOWN,False
18004-LD,18004,AC,15.95,4.27,18004,COOKSTOWN,False
18101-I,18101,AC,121.0,13.23,18101,DARNDALE,False
18102-I,18102,AC,115.77,7.33,18102,CLUTTERLAND,False
18204-LD,18204,AC,11.85,-1.11,18204,CLOON,False
18304-LD,18304,AC,6.98,-2.84,18304,SCREEB,False
18402-LD,18402,AC,4.16,-0.4,18402,CRANE,False
18404-LD,18404,AC,7.52,-1.63,18404,CRANE,False
18504-LD,18504,AC,5.98,0.0,18504,CHERRYWOOD,False
18604-LD,18604,AC,8.99,-0.02,18604,CARRICK ON S,False
18701-LD,18701,AC,21.49,1.63,18701,COLLEGE PARK,False
18804-LD,18804,AC,5.72,-0.64,18804,CHARLEVILLE,False
19004-LD,19004,AC,22.22,-6.23,19004,HY_CARLOW,False
19204-LD,19204,AC,3.99,0.05,19204,COW_CROSS,False
19504-LD,19504,AC,9.63,-0.69,19504,CARROWBEG,False
19601-LD,19601,AC,14.44,1.84,19601,CASTLEVIEW,False
20201-LD,20201,AC,10.84,3.56,20201,CITY WEST,False
20402-LD,20402,AC,11.39,1.21,20402,CORDUFF,False
20701-I,20701,AC,171.83,7.69,20701,CRUISERATH,False
21004-LD,21004,AC,18.87,-0.18,21004,DUNDALK,False
21204-LD,21204,AC,9.24,0.2,21204,DRUMLINE,False
21404-LD,21404,AC,14.84,-2.26,21404,DUNGARVAN,False
21604-LD,21604,AC,10.24,0.01,21604,DOON,False
21804-LD,21804,AC,27.87,-7.33,21804,DRYBRIDGE,False
21904-I,21904,AC,9.5,3.12,21904,DONORE,False
21904-LD,21904,AC,1.65,0.33,21904,DONORE,False
22208-LD,22208,AC,12.89,-1.77,22208,DUNMANWAY,False
22404-LD,22404,AC,4.65,-1.1,22404,DALLOW,False
22501-LD,22501,AC,6.98,2.3,22501,DARDISTOWN,False
22804-LD,22804,AC,10.88,-1.5,22804,HY_DALTON,False
23002-LD,23002,AC,3.11,-0.05,23002,DUNFIRTH,False
23601-LD,23601,AC,3.99,0.5,23601,ENNIS,False
23604-LD,23604,AC,12.55,-0.02,23604,ENNIS,False
24202-I,24202,AC,155.84,6.97,24202,CORKAGH,False
24804-LD,24804,AC,19.63,0.16,24804,FASSAROE,False
25604-LD,25604,AC,13.91,-3.82,25604,FINGLAS,False
25901-LD,25901,AC,6.07,-0.21,25901,FORTUNESTOWN,False
26802-I,26802,AC,11.42,2.83,26802,GILRA,False
27004-LD,27004,AC,27.76,8.97,27004,GLASMORE,False
27204-LD,27204,AC,18.15,-1.38,27204,GRIFFINRATH,False
27404-LD,27404,AC,6.85,0.21,27404,GREAT ISLAND,False
27604-LD,27604,AC,22.52,2.56,27604,GRANGE,False
27801-LD,27801,AC,3.9,0.0,27801,GALWAY,False
27804-LD,27804,AC,23.05,-4.24,27804,GALWAY,False
28201-I,28201,AC,22.8,7.49,28201,GORTAWEE,False
28204-LD,28204,AC,6.55,1.01,28204,GORTAWEE,False
28601-LD,28601,AC,14.94,0.11,28601,GRANGE CASTL,False
28604-LD,28604,AC,16.84,-2.13,28604,GRANGE CASTL,False
28804-LD,28804,AC,8.04,0.63,28804,GLENLARA,False
29304-I,29304,AC,9.5,3.12,29304,WALTERSTOWN,False
29304-LD,29304,AC,12.5,2.96,29304,WALTERSTOWN,False
29401-LD,29401,AC,6.25,2.03,29401,HAROLDS CROS,False
29501-LD,29501,AC,6.28,0.95,29501,HEUSTON SQUA,False
30804-LD,30804,AC,20.39,2.49,30804,INCHICORE,False
31004-LD,31004,AC,10.03,3.0,31004,IKERRIN,False
32201-LD,32201,AC,4.49,0.0,32201,KILBARRY,False
32204-LD,32204,AC,19.38,-6.66,32204,KILBARRY,False
32291-LD,32291,AC,1.65,0.33,32291,KILNAP,False
32302-I,32302,AC,35.64,5.08,32302,KILCARBERY,False
32404-LD,32404,AC,9.63,-1.38,32404,KILTEEL,False
32604-LD,32604,AC,15.18,-0.96,32604,HY_KILKENNY,False
32702-I,32702,AC,21.78,3.1,32702,KISHOGE,False
33004-LD,33004,AC,15.65,-3.84,33004,KNOCKEARAGH,False
33201-I,33201,AC,23.66,10.99,33201,KNOCKUMBER,False
33502-I,33502,AC,116.85,38.41,33502,KELLYSTOWN,False
33801-I,33801,AC,10.19,2.44,33801,KINNEGAD,False
34001-LD,34001,AC,5.68,0.48,34001,KILLOTERAN,False
34301-I,34301,AC,35.0,5.62,34301,KILMAHUD,False
35004-LD,35004,AC,5.11,-0.09,35004,LANESBORO,False
35404-I,35404,AC,11.68,3.84,35404,LIMERICK,False
35404-LD,35404,AC,33.73,-0.02,35404,LIMERICK,False
35604-LD,35604,AC,10.97,2.87,35604,LISDRUM,False
35804-LD,35804,AC,17.63,-2.72,35804,LETTERKENNY,False
36001-LD,36001,AC,8.44,1.12,36001,LIBERTY STRE,False
36503-I,36503,AC,66.0,0.0,36503,BARNAKYLE,False
36802-I,36802,AC,35.89,2.79,36802,AUNGIERSTOWN,False
37501-LD,37501,AC,7.08,-0.82,37501,MISERY HILL,False
37601-LD,37601,AC,10.3,-0.85,37601,MACE ESB,False
37602-I,37602,AC,4.58,0.55,37602,MACE IBM,False
38001-LD,38001,AC,8.48,1.45,38001,MIDLETON,False
38004-LD,38004,AC,15.63,1.55,38004,MIDLETON,False
38204-LD,38204,AC,17.31,2.65,38204,MEATHHILL,False
38601-LD,38601,AC,2.48,-0.5,38601,MILLTOWN,False
38701-LD,38701,AC,3.58,-0.7,38701,MILLTOWN,False
38804-LD,38804,AC,9.63,4.78,38804,MACROOM,False
39104-I,39104,AC,23.75,7.81,39104,METRO AIRPOR,False
39204-I,39204,AC,29.45,9.68,39204,METRO NORTH,False
39601-LD,39601,AC,4.33,0.0,39601,MARINA,False
39801-I,39801,AC,21.5,12.1,39801,MUNGRET,False
40001-LD,40001,AC,5.43,-0.57,40001,MULLINGAR,False
40004-LD,40004,AC,11.96,-2.72,40004,MULLINGAR,False
40102-I,40102,AC,58.41,8.32,40102,MOORETOWN,False
40204-LD,40204,AC,8.09,0.2,40204,MALLOW,False
40404-LD,40404,AC,13.49,-0.72,40404,MOY,False
40602-I,40602,AC,4.46,1.33,40602,MULLAGHARLIN,False
40602-LD,40602,AC,2.28,-0.49,40602,MULLAGHARLIN,False
40801-LD,40801,AC,7.31,0.62,40801,MONREAD,False
41002-I,41002,AC,32.0,6.21,41002,NEWBURY,False
41102-I,41102,AC,43.0,7.17,41102,BANCROFT,False
42004-LD,42004,AC,14.99,-1.3,42004,BIO_NEWBRIDG,False
42101-LD,42101,AC,10.76,-0.99,42101,NORTH QUAYS,False
42204-LD,42204,AC,17.72,2.26,42204,HY_NAVAN,False
42604-LD,42604,AC,11.38,1.99,42604,NENAGH,False
42802-I,42802,AC,11.11,2.63,42802,NANGOR,False
43604-LD,43604,AC,10.54,-1.69,43604,HY_OUGHTRAGH,False
44001-LD,44001,AC,7.77,-0.51,44001,POPPINTREE,False
44804-LD,44804,AC,15.56,-3.76,44804,PORTLAOISE,False
44901-LD,44901,AC,3.49,-0.8,44901,PELLETSTOWN,False
45001-I,45001,AC,18.0,5.9,45001,PLATIN,False
45101-LD,45101,AC,7.27,0.0,45101,POTTERY ROAD,False
46210-I,46210,AC,34.84,14.0,46210,RYEBROOK,False
46214-I,46214,AC,34.84,14.0,46214,RYEBROOK,False
46224-I,46224,AC,34.84,14.0,46224,RYEBROOK,False
46501-LD,46501,AC,7.14,2.33,46501,RINGSEND,False
46804-LD,46804,AC,18.94,-1.53,46804,RATHKEALE,False
46902-I,46902,AC,47.28,8.28,46902,OLDBRIDGE,False
